,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
0,,,,,,,,,,,,,,,,,,empty,2013-04-01
1,8.908,1.120,87,7.701,,"81,6","84,2","73,1","81,4",,"249,0","279,5","243,1",,"2.719,0","3.197,5","2.627,5",Global,2013-04-01
2,,,,,,,,,,,,,,,,,,empty,2013-04-01
3,317,0,0,317,,"58,2",-,-,"58,2",,"97,0",-,"97,0",,"1.726,5",-,"1.726,5",1 1. el Raval,2013-04-01
4,170,36,0,134,,"92,6","90,8",-,"93,0",,"212,4","285,2","193,4",,"2.448,2","3.248,7","2.239,7",1 2. el Barri Gòtic,2013-04-01
5,224,111,0,113,,"49,9","54,8",-,"44,7",,"175,5","228,7","119,7",,"3.476,3","4.062,8","2.861,3",1 3. la Barceloneta,2013-04-01
6,191,43,0,148,,"69,3","64,5",-,"70,6",,"190,4","224,5","180,9",,"2.846,5","3.404,9","2.691,4","1 4. Sant Pere, Santa Caterina i la Ribera",2013-04-01
7,167,13,0,154,,"92,8","92,9",-,"92,8",,"268,3","376,5","257,1",,"2.842,9","4.384,2","2.683,5",2 5. el Fort Pienc,2013-04-01
8,35,3,0,32,,"70,1","60,0",-,"71,1",,"192,4","208,0","189,8",,"2.938,7","3.466,7","2.850,7",2 6. la Sagrada Família,2013-04-01
9,379,31,23,325,,"99,5","93,8","71,5","102,2",,"306,9","214,6","318,5",,"2.798,2","2.195,1","2.874,2","2 7. la Dreta de l""Eixample",2013-04-01
10,200,7,0,193,,"87,7","59,9",-,"88,7",,"239,2","275,9","237,3",,"2.760,2","4.825,0","2.655,5","2 8. l""Antiga Esquerra de l""Eixample",2013-04-01
11,196,49,0,147,,"77,0","77,8",-,"76,7",,"301,6","432,3","213,8",,"3.648,2","5.174,1","2.624,0","2 9. la Nova Esquerra de l""Eixample",2013-04-01
12,128,0,0,128,,"80,8",-,-,"80,8",,"177,5",-,"177,5",,"2.024,9",-,"2.024,9",2 10. Sant Antoni,2013-04-01
